Stand;RaumID;RaumName;AgeGroup;Overall;male;female;german;german_male;german_female;non_german;non_german_male;non_german_female
31.12.2019;05;Nordrhein-Westfalen;25 bis unter 30 Jahre;1140668;589408;551260;894201;452626;441575;246467;136782;109685
31.12.2019;05;Nordrhein-Westfalen;30 bis unter 35 Jahre;1145247;583409;561838;901823;453110;448713;243424;130299;113125
31.12.2019;05;Nordrhein-Westfalen;35 bis unter 40 Jahre;1099008;550037;548971;869790;433497;436293;229218;116540;112678
31.12.2019;05;Nordrhein-Westfalen;40 bis unter 45 Jahre;1036794;512735;524059;815841;402386;413455;220953;110349;110604
31.12.2019;05;Nordrhein-Westfalen;45 bis unter 50 Jahre;1142082;565762;576320;932074;460951;471123;210008;104811;105197
31.12.2019;05;Nordrhein-Westfalen;50 bis unter 55 Jahre;1483368;742798;740570;1313271;654613;658658;170097;88185;81912
31.12.2019;05;Nordrhein-Westfalen;55 bis unter 60 Jahre;1451252;723418;727834;1324258;657455;666803;126994;65963;61031
31.12.2019;05;Nordrhein-Westfalen;60 bis unter 65 Jahre;1219408;597598;621810;1127559;551680;575879;91849;45918;45931
31.12.2019;05;Nordrhein-Westfalen;65 bis unter 70 Jahre;1011940;478189;533751;936773;446992;489781;75167;31197;43970
31.12.2019;05;Nordrhein-Westfalen;70 bis unter 75 Jahre;782133;362775;419358;710672;328876;381796;71461;33899;37562
31.12.2019;05;Nordrhein-Westfalen;75 bis unter 80 Jahre;789323;349426;439897;740368;322991;417377;48955;26435;22520
31.12.2019;05;Nordrhein-Westfalen;80 bis unter 85 Jahre;696905;287327;409578;668134;271605;396529;28771;15722;13049
31.12.2019;05;Nordrhein-Westfalen;85 bis unter 90 Jahre;340659;123728;216931;329614;118033;211581;11045;5695;5350
31.12.2019;05;Nordrhein-Westfalen;90 Jahre und mehr;179151;48195;130956;174718;46607;128111;4433;1588;2845
31.12.2019;06;Hessen;unter 3 Jahre;182875;93977;88898;152204;78189;74015;30671;15788;14883
31.12.2019;06;Hessen;3 bis unter 6 Jahre;181351;92943;88408;150105;76759;73346;31246;16184;15062
31.12.2019;06;Hessen;6 bis unter 10 Jahre;227325;116615;110710;190046;97259;92787;37279;19356;17923
31.12.2019;06;Hessen;10 bis unter 15 Jahre;286632;147295;139337;246776;126356;120420;39856;20939;18917
31.12.2019;06;Hessen;15 bis unter 18 Jahre;176166;91038;85128;154193;79218;74975;21973;11820;10153
31.12.2019;06;Hessen;18 bis unter 20 Jahre;127037;66122;60915;109168;55982;53186;17869;10140;7729
31.12.2019;06;Hessen;20 bis unter 25 Jahre;366420;192278;174142;280067;143031;137036;86353;49247;37106
31.12.2019;06;Hessen;25 bis unter 30 Jahre;399739;206474;193265;292775;148950;143825;106964;57524;49440
31.12.2019;06;Hessen;30 bis unter 35 Jahre;412688;211610;201078;303281;153466;149815;109407;58144;51263
31.12.2019;06;Hessen;35 bis unter 40 Jahre;402332;201164;201168;301335;150039;151296;100997;51125;49872
31.12.2019;06;Hessen;40 bis unter 45 Jahre;383953;190153;193800;287135;141457;145678;96818;48696;48122
31.12.2019;06;Hessen;45 bis unter 50 Jahre;412545;205496;207049;320905;159280;161625;91640;46216;45424
31.12.2019;06;Hessen;50 bis unter 55 Jahre;514466;259219;255247;437970;219891;218079;76496;39328;37168
31.12.2019;06;Hessen;55 bis unter 60 Jahre;497867;249566;248301;439466;219487;219979;58401;30079;28322
31.12.2019;06;Hessen;60 bis unter 65 Jahre;409576;201745;207831;368087;181342;186745;41489;20403;21086
31.12.2019;06;Hessen;65 bis unter 70 Jahre;347597;165201;182396;315470;151656;163814;32127;13545;18582
31.12.2019;06;Hessen;70 bis unter 75 Jahre;280583;131964;148619;253077;118812;134265;27506;13152;14354
31.12.2019;06;Hessen;75 bis unter 80 Jahre;274889;124982;149907;256846;115829;141017;18043;9153;8890
31.12.2019;06;Hessen;80 bis unter 85 Jahre;231684;98394;133290;220721;92709;128012;10963;5685;5278
31.12.2019;06;Hessen;85 bis unter 90 Jahre;110529;41446;69083;105629;39038;66591;4900;2408;2492
31.12.2019;06;Hessen;90 Jahre und mehr;61826;17578;44248;59734;16770;42964;2092;808;1284
